latitude,longitude,area
35.7608333 ,139.5622222 ,5855 
35.7592222 ,139.5577778 ,3289 
35.7589444 ,139.5597222 ,3592 
35.7592222 ,139.5606389 ,837 
35.7578611 ,139.5646944 ,1605 
35.7577500 ,139.5654444 ,3987 
35.7569167 ,139.5575556 ,979 
35.7564444 ,139.5597500 ,1195 
35.7573333 ,139.5618611 ,1194 
35.7560833 ,139.5575833 ,1555 
35.7559444 ,139.5585556 ,2732 
35.7549722 ,139.5605556 ,9163 
35.7563056 ,139.5637222 ,10100 
35.7563056 ,139.5659444 ,4325 
35.7556667 ,139.5557500 ,7356 
35.7549722 ,139.5588611 ,1441 
35.7546667 ,139.5546389 ,1598 
35.7541111 ,139.5583611 ,2618 
35.7538056 ,139.5593611 ,5451 
35.7523056 ,139.5568611 ,7988 
35.7530556 ,139.5584444 ,1201 
35.7534722 ,139.5438611 ,1794 
35.7520833 ,139.5503056 ,3283 
35.7513333 ,139.5475833 ,1879 
35.7505278 ,139.5488611 ,1821 
35.7506111 ,139.5502778 ,565 
35.7498056 ,139.5503611 ,1144 
35.7545000 ,139.5535556 ,636 
35.7538056 ,139.5544444 ,5241 
35.7527778 ,139.5535278 ,701 
35.7531667 ,139.5546667 ,912 
35.7526111 ,139.5530278 ,3064 
35.7521944 ,139.5557778 ,1381 
35.7508611 ,139.5525556 ,3388 
35.7506944 ,139.5562778 ,5737 
35.7493333 ,139.5540278 ,1655 
35.7500000 ,139.5555556 ,3632 
35.7486667 ,139.5559444 ,1108 
35.7484444 ,139.5535833 ,2707 
35.7478056 ,139.5550000 ,1251 
35.7476389 ,139.5566111 ,9044 
35.7547778 ,139.5637778 ,1520 
35.7554444 ,139.5656111 ,1404 
35.7554444 ,139.5662500 ,2215 
35.7536111 ,139.5645278 ,1994 
35.7536111 ,139.5677222 ,3986 
35.7520833 ,139.5654444 ,2482 
35.7523889 ,139.5675278 ,2761 
35.7523611 ,139.5682222 ,4204 
35.7519167 ,139.5571944 ,705 
35.7514167 ,139.5613333 ,889 
35.7504722 ,139.5635000 ,3570 
35.7503333 ,139.5688333 ,4064 
35.7497222 ,139.5611667 ,733 
35.7497778 ,139.5678333 ,1276 
35.7488056 ,139.5580556 ,4370 
35.7493611 ,139.5614722 ,520 
35.7483333 ,139.5591111 ,663 
35.7481389 ,139.5628056 ,3149 
35.7483333 ,139.5455833 ,7852 
35.7478056 ,139.5455000 ,2567 
35.7471389 ,139.5449167 ,2490 
35.7455556 ,139.5461667 ,14314 
35.7444444 ,139.5451389 ,3863 
35.7441389 ,139.5468889 ,840 
35.7428056 ,139.5460833 ,5201 
35.7495278 ,139.5472778 ,922 
35.7489444 ,139.5495833 ,925 
35.7472778 ,139.5466389 ,2294 
35.7480278 ,139.5484167 ,2294 
35.7481667 ,139.5495833 ,1954 
35.7484167 ,139.5507778 ,4498 
35.7464444 ,139.5482778 ,14181 
35.7469167 ,139.5493333 ,1713 
35.7466667 ,139.5525000 ,2984 
35.7466389 ,139.5532778 ,2969 
35.7471111 ,139.5542222 ,1464 
35.7474722 ,139.5549722 ,1385 
